"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"605","... >= 200 DM / salary for at least 1 year",10,"existing credits paid back duly till now","radio/television",1275,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",23,"none","own",1,"skilled employee/official",1,"no","yes",1
"606","... < 100 DM",24,"all credits at this bank paid back duly","radio/television",2828,"500 <= ... < 1000 DM","1 <= ... < 4 years",4,"male : single","none",4,"real estate",22,"stores","own",1,"skilled employee/official",1,"yes","yes",1
"607","no checking account",24,"critical account/other credits existing","others",4526,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"real estate",74,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"608","0 <= ... < 200 DM",36,"existing credits paid back duly till now","domestic appliances",2671,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","co-applicant",4,"unknown/no property",50,"none","for free",1,"skilled employee/official",1,"no","yes",0
"609","no checking account",18,"existing credits paid back duly till now","domestic appliances",2051,"... < 100 DM","... < 1 year",4,"male : single","none",1,"real estate",33,"none","own",1,"skilled employee/official",1,"no","yes",1
"610","no checking account",15,"existing credits paid back duly till now","car (used)",1300,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"unknown/no property",45,"bank","for free",1,"skilled employee/official",2,"no","yes",1
"611","... < 100 DM",12,"existing credits paid back duly till now","repairs",741,"100 <= ... < 500 DM","unemployed",4,"female : divorced/separated/married","none",3,"building society savings agreement/life insurance",22,"none","own",1,"skilled employee/official",1,"no","yes",0
"612","... >= 200 DM / salary for at least 1 year",10,"existing credits paid back duly till now","car (new)",1240,"100 <= ... < 500 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"unknown/no property",48,"none","for free",1,"unskilled - resident",2,"no","yes",0
"613","... < 100 DM",21,"existing credits paid back duly till now","domestic appliances",NA,"... >= 1000 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"no","yes",1
"614","... < 100 DM",24,"all credits at this bank paid back duly","car (used)",3632,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","guarantor",4,"car or other",22,"bank","rent",1,"skilled employee/official",1,"no","no",1
"615","no checking account",18,"delay in paying off in the past","radio/television",1808,"... < 100 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",1,"real estate",22,"none","own",1,"skilled employee/official",1,"no","yes",0
"616","0 <= ... < 200 DM",48,"no credits taken/all credits paid back duly","others",12204,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",2,"car or other",48,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"617","0 <= ... < 200 DM",60,"delay in paying off in the past","domestic appliances",9157,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",2,"unknown/no property",27,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"618","... < 100 DM",6,"critical account/other credits existing","car (new)",3676,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",3,"real estate",37,"none","rent",3,"skilled employee/official",2,"no","yes",1
"619","0 <= ... < 200 DM",30,"existing credits paid back duly till now","radio/television",NA,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","co-applicant",4,"car or other",21,"none","rent",1,"skilled employee/official",1,"no","yes",0
"620","no checking account",12,"existing credits paid back duly till now","car (new)",640,"... < 100 DM","1 <= ... < 4 years",4,"male : divorced/separated","none",2,"real estate",49,"none","own",1,"unskilled - resident",1,"no","yes",1
"621","0 <= ... < 200 DM",21,"critical account/other credits existing","others",3652,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",3,"building society savings agreement/life insurance",27,"none","own",2,"skilled employee/official",1,"no","yes",1
"622","no checking account",18,"critical account/other credits existing","car (new)",NA,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"building society savings agreement/life insurance",32,"bank","own",2,"skilled employee/official",1,"no","yes",0
"623","no checking account",48,"existing credits paid back duly till now","others",3914,"unknown/no savings account","1 <= ... < 4 years",4,"male : divorced/separated","none",2,"real estate",38,"bank","own",1,"skilled employee/official",1,"no","yes",0
"624","... < 100 DM",12,"existing credits paid back duly till now","radio/television",1858,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"car or other",22,"none","rent",1,"skilled employee/official",1,"no","yes",1
"625","... < 100 DM",18,"existing credits paid back duly till now","domestic appliances",2600,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"unknown/no property",65,"none","for free",2,"skilled employee/official",1,"no","yes",0
"626","no checking account",15,"existing credits paid back duly till now","domestic appliances",1979,"unknown/no savings account","... >= 7 years",4,"male : single","none",2,"car or other",35,"none","own",1,"skilled employee/official",1,"no","yes",1
"627","... >= 200 DM / salary for at least 1 year",6,"existing credits paid back duly till now","radio/television",NA,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",41,"none","own",1,"skilled employee/official",1,"yes","yes",1
"628","0 <= ... < 200 DM",9,"all credits at this bank paid back duly","car (new)",1437,"100 <= ... < 500 DM","4 <= ... < 7 years",2,"male : single","none",3,"unknown/no property",29,"none","own",1,"skilled employee/official",1,"no","yes",0
"629","no checking account",42,"critical account/other credits existing","radio/television",4042,"500 <= ... < 1000 DM","1 <= ... < 4 years",4,"male : single","none",4,"real estate",36,"none","own",2,"skilled employee/official",1,"yes","yes",1
"630","no checking account",9,"existing credits paid back duly till now","retraining",3832,"unknown/no savings account","... >= 7 years",1,"male : single","none",4,"real estate",64,"none","own",1,"unskilled - resident",1,"no","yes",1
"631","... < 100 DM",24,"existing credits paid back duly till now","domestic appliances",3660,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"car or other",28,"none","own",1,"skilled employee/official",1,"no","yes",1
"632","... < 100 DM",18,"all credits at this bank paid back duly","radio/television",1553,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",3,"car or other",44,"bank","own",1,"skilled employee/official",1,"no","yes",0
"633","0 <= ... < 200 DM",15,"existing credits paid back duly till now","domestic appliances",1444,"unknown/no savings account","... < 1 year",4,"male : single","none",1,"building society savings agreement/life insurance",23,"none","own",1,"skilled employee/official",1,"no","yes",1
"634","no checking account",9,"existing credits paid back duly till now","radio/television",1980,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","co-applicant",2,"car or other",19,"none","rent",2,"skilled employee/official",1,"no","yes",0
"635","0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (new)",1355,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",4,"car or other",25,"none","own",1,"unskilled - resident",1,"yes","yes",0
"636","no checking account",12,"existing credits paid back duly till now","retraining",1393,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",47,"bank","own",3,"skilled employee/official",2,"yes","yes",1
"637","no checking account",24,"existing credits paid back duly till now","domestic appliances",1376,"500 <= ... < 1000 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",1,"car or other",28,"none","own",1,"skilled employee/official",1,"no","yes",1
"638","no checking account",60,"delay in paying off in the past","domestic appliances",15653,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",4,"car or other",21,"none","own",2,"skilled employee/official",1,"yes","yes",1
"639","no checking account",12,"existing credits paid back duly till now","domestic appliances",1493,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",3,"car or other",34,"none","own",1,"skilled employee/official",2,"no","yes",1
"640","... < 100 DM",42,"delay in paying off in the past","domestic appliances",4370,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",2,"building society savings agreement/life insurance",26,"bank","own",2,"skilled employee/official",2,"yes","yes",0
"641","... < 100 DM",18,"existing credits paid back duly till now","retraining",750,"... < 100 DM","unemployed",4,"female : divorced/separated/married","none",1,"real estate",27,"none","own",1,"unemployed/unskilled - non-resident",1,"no","yes",0
"642","0 <= ... < 200 DM",15,"existing credits paid back duly till now","education",1308,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",38,"none","own",2,"unskilled - resident",1,"no","yes",1
"643","no checking account",15,"existing credits paid back duly till now","retraining",4623,"100 <= ... < 500 DM","1 <= ... < 4 years",3,"male : single","none",2,"building society savings agreement/life insurance",40,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"644","no checking account",24,"critical account/other credits existing","domestic appliances",1851,"... < 100 DM","4 <= ... < 7 years",4,"male : married/widowed","guarantor",2,"car or other",33,"none","own",2,"skilled employee/official",1,"yes","yes",1
"645","... < 100 DM",18,"critical account/other credits existing","domestic appliances",1880,"... < 100 DM","4 <= ... < 7 years",4,"male : married/widowed","none",1,"building society savings agreement/life insurance",32,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"646","no checking account",36,"delay in paying off in the past","others",NA,"unknown/no savings account","... < 1 year",4,"male : single","none",4,"car or other",27,"none","rent",2,"skilled employee/official",1,"yes","yes",0
"647","... < 100 DM",30,"no credits taken/all credits paid back duly","radio/television",4583,"... < 100 DM","1 <= ... < 4 years",2,"male : divorced/separated","guarantor",2,"real estate",32,"none","own",2,"skilled employee/official",1,"no","yes",1
"648","no checking account",12,"existing credits paid back duly till now","car (new)",1386,"500 <= ... < 1000 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",26,"none","own",1,"skilled employee/official",1,"no","yes",0
"649","... >= 200 DM / salary for at least 1 year",24,"existing credits paid back duly till now",NA,947,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",3,"unknown/no property",38,"bank","for free",1,"skilled employee/official",2,"no","yes",0
"650","... < 100 DM",12,"existing credits paid back duly till now","retraining",684,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other",40,"none","rent",1,"unskilled - resident",2,"no","yes",0
"651","... < 100 DM",48,"existing credits paid back duly till now","retraining",7476,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",1,"unknown/no property",50,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
